Attribute,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
value,1.7756,5.4351,4.9221,3.4138,5.9679,4.761,6.0422,10.9729,4.2374,4.7831,6.3723,12.6541,2.7765,7.0041,11.0612,14.4451
min,0.1,1.6,1.5,1,1.8,1.2,2.3,7.1,1.6,2.3,4.2,4.6,0.1,2.9,2.8,7.4
max,5.1,12.7,12.6,7.1,13.4,10.2,13.2,16.3,8.4,9,10.3,26,6.3,13.1,22.3,31.5
mean,1.7944,5.4846,4.8895,3.3952,6.0273,4.8,5.9857,10.9273,4.2533,4.7909,6.3714,12.6739,2.7923,7.0308,11.0846,14.3706
std. dev.,1.4481,3.6041,2.7231,1.5061,3.1626,3.0301,4.5645,3.0166,2.0262,1.9191,1.4408,5.5622,2.1865,3.1253,4.8823,6.8121
,,,,,,,,,,,,,,,,
"2016 Estimate; UNITS IN STRUCTURE - Total housing units - Boat, RV, van",,,,,,,,,,,,,,,,
value,0.0166,0.046,0.0168,0.02,0.0578,0.0865,0.0146,0.0733,0.1213,0.0816,0.0794,0.0964,0.0454,0.1283,0.0775,0.2731
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,0.1,0.3,0.1,0.1,0.4,0.9,0.1,0.4,0.8,0.2,0.2,0.5,0.1,0.4,0.2,2.3
mean,0.0167,0.0462,0.0158,0.019,0.0591,0.0857,0.0143,0.0727,0.12,0.0818,0.0786,0.0957,0.0462,0.1308,0.0769,0.2647
std. dev.,0.0383,0.0877,0.0375,0.0402,0.0908,0.2381,0.0378,0.1032,0.2007,0.0982,0.0802,0.1147,0.0519,0.1251,0.0832,0.5431
,,,,,,,,,,,,,,,,
2016 Estimate; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,,,,,,,,,,,,,,,,
value,5.4354,3.0264,3.8997,4.4141,4.0267,4.8553,6.5166,4.2978,5.7665,6.2702,5.3777,4.297,5.5331,4.3104,6.0027,3.6731
min,3.7,1.6,1.9,2.1,1.7,2.4,3.8,2.8,3.3,3.7,3.1,1.9,2.3,2.2,4,1.9
max,7.8,5.4,7.3,6.4,7.4,8.1,7.8,6.5,10.7,8.9,7.9,7.9,7.9,7.2,11.4,5.5
mean,5.4278,3.0308,3.9316,4.419,4.0318,4.8643,6.5286,4.3,5.78,6.2909,5.3857,4.2609,5.5385,4.3154,6.0231,3.6471
std. dev.,1.1866,1.2964,1.4182,1.1205,1.527,1.363,1.3524,1.0038,1.8393,1.8289,1.3761,1.5317,1.7405,1.4153,2.0105,1.1397
,,,,,,,,,,,,,,,,
2016 Estimate; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,,,,,,,,,,,,,,,,
value,7.2502,3.9015,4.0888,4.1051,3.4399,3.8703,4.8054,3.7833,5.0393,4.2219,4.4319,3.4822,5.3881,5.2057,4.6093,3.6248
min,2.6,1,2.4,2.3,1.3,1.7,3,1.9,2.8,2.4,3.1,1.7,2.3,3.2,2.7,2.2
max,13.4,6.6,6.2,6.5,5.2,7,7.6,8.8,9.2,7.1,6.8,6.5,8,9.6,8,5.6
mean,7.2222,3.9462,4.1053,4.1238,3.4136,3.8786,4.7857,3.7864,5.06,4.2182,4.4571,3.5043,5.4154,5.2231,4.6308,3.6412
std. dev.,3.0489,1.7304,1.1988,1.4046,1.1602,1.4844,1.5582,1.5743,1.5546,1.5798,1.2296,1.0823,1.6344,1.7384,1.8373,1.0683
,,,,,,,,,,,,,,,,
2016 Estimate; UNITS IN STRUCTURE - Total housing units - 20 or more un,,,,,,,,,,,,,,,,
value,8.4661,6.7833,5.5692,5.397,5.5684,10.0702,6.0816,3.3646,9.9571,8.8008,4.8347,3.647,13.7054,4.2951,7.9702,6.9624
min,4.8,1.9,3.1,3.2,2.4,2.6,4.1,0.9,3.8,5.3,2.5,0.9,5.3,2.1,1.8,1.8
max,13.5,16.6,8.7,9.8,10.1,22.2,9.3,6.9,26.3,14,8.6,6.7,27.1,7.1,14,15.8
mean,8.4944,6.7154,5.5842,5.4048,5.5727,10.05,6.1,3.3773,9.92,8.8273,4.8071,3.6565,13.7615,4.2923,7.9769,7.0294
std. dev.,2.6889,4.4151,1.3692,1.5429,1.9998,5.4268,1.8771,1.3391,5.5004,2.6982,1.9145,1.571,7.1696,1.5489,3.331,4.204
,,,,,,,,,,,,,,,,
2016 Estimate; UNITS IN STRUCTURE - Total housing units - 2 units,,,,,,,,,,,,,,,,
value,7.7531,2.2717,3.304,5.298,2.0951,2.4717,3.6448,3.2182,2.6953,3.3235,3.2489,2.5955,3.5263,2.563,2.6239,2.3382
min,1.9,0.7,1,1.3,1.1,0.8,1.8,1.2,1.2,0.9,1.5,1.4,0.9,1.6,1.1,1.3
max,12.9,3.7,7.6,16.3,4.3,4.2,8.6,9.4,5.9,7.8,6.8,4.9,10.9,3.9,5,4.7
mean,7.7278,2.2769,3.2842,5.3762,2.0818,2.4643,3.6143,3.2545,2.72,3.3182,3.2786,2.5739,3.5538,2.5769,2.6462,2.3529
std. dev.,3.1352,0.9075,1.7642,3.5272,0.8353,1.0888,2.4286,1.821,1.5889,2.4839,1.4192,0.9021,3.0418,0.7939,1.2869,0.9488
,,,,,,,,,,,,,,,,
2016 Estimate; UNITS IN STRUCTURE - Total housing units - 10 to 19 unit,,,,,,,,,,,,,,,,
value,4.2476,3.2449,4.1092,3.2227,4.5608,5.6655,5.5188,3.3686,4.9482,8.3662,4.8117,3.0408,5.1435,2.4653,5.6604,3.4822
min,2,1.9,1.4,1.2,1.6,2,1.3,1.9,2.1,5.6,3,0.6,1.5,0.7,1.5,1.3
max,8.2,5.8,8.1,5.3,6.7,8.2,10.1,5.3,7.2,14.3,7.8,5.3,9.3,4.5,10.6,6.2
mean,4.2556,3.2385,4.1368,3.219,4.5636,5.6571,5.5571,3.3636,4.9533,8.3909,4.8071,3.0565,5.1308,2.4692,5.6615,3.4647
std. dev.,1.5538,1.1057,1.683,1.0191,1.4991,1.5703,2.7796,1.0111,1.6814,2.386,1.2517,1.4074,1.9834,1.0957,2.3821,1.5133
,,,,,,,,,,,,,,,,
"2016 Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, detac",,,,,,,,,,,,,,,,
value,55.1652,65.7357,70.3719,70.2054,67.982,62.0208,62.9284,68.6749,61.1304,58.7821,68.1318,67.4694,54.4145,70.2469,56.4439,61.243
min,44.3,53.8,64.4,60.8,60,47.2,56.8,60.9,42,53.8,64.5,57.4,36.7,61.3,47.6,51.3
max,67.3,72.4,77.4,77.7,76.7,67.8,68.9,72.9,69.9,65.2,72.6,79.9,68.9,77.1,63.3,67.9
mean,55.1333,65.6846,70.3263,70.1095,68.0091,61.9786,62.9714,68.6682,61.0667,58.7455,68.1071,67.4217,54.3846,70.1846,56.3692,61.3059
std. dev.,6.0539,5.8732,3.9071,5.3703,4.9918,6.0511,5.2111,2.631,6.6177,3.8996,2.4171,4.9573,9.6471,5.224,4.282,5.4108
,,,,,,,,,,,,,,,,
"2016 Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, attac",,,,,,,,,,,,,,,,
value,9.8295,9.5854,3.7352,3.9382,6.3025,6.1763,4.3906,2.2233,6.0906,5.3794,2.7188,2.7299,9.4285,3.7503,5.4815,3.929
min,3.3,3.6,1.6,1.3,3.1,2.8,2.8,0.7,2.3,2.8,1.3,1.2,4.6,1.9,2.1,1.2
max,29.7,20.4,6.5,9.6,11.4,12,6.3,4.4,9.8,9.2,4.6,7.3,19.8,5.9,10.4,8.6
mean,9.8667,9.6077,3.7421,3.9476,6.2409,6.2,4.3857,2.2273,6.1133,5.3455,2.7143,2.7696,9.3385,3.7462,5.4615,3.8941
std. dev.,8.9125,5.8183,1.2924,2.2792,2.3118,2.5453,1.4159,0.9731,1.9164,1.971,0.9105,1.6072,3.7138,1.3782,2.009,2.3634
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - Median rooms,,,,,,,,,,,,,,,,
value,5.6566,6.0706,5.738,5.8144,6.039,5.7157,5.5131,5.4994,5.3863,5.4738,5.4152,5.5912,5.1782,5.3038,5.2599,5.145
min,5.3,5.5,5.5,5.3,5.6,5.4,5.3,5.2,4.5,5.2,5,5.3,4.6,5.1,5,4.8
max,6.2,6.5,6.2,6,7,6.1,5.8,5.8,5.8,5.7,5.6,6,6.1,5.6,5.5,5.7
mean,5.6611,6.0692,5.7421,5.8143,6.0364,5.7143,5.5143,5.5,5.3867,5.4727,5.4143,5.5913,5.1692,5.3,5.2615,5.1471
std. dev.,0.2704,0.272,0.1924,0.174,0.3774,0.1834,0.1676,0.1826,0.3907,0.1421,0.1748,0.1952,0.4423,0.1581,0.1981,0.2695
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 9 rooms or more,,,,,,,,,,,,,,,,
value,12.041,18.0265,13.4836,12.3595,17.0621,16.6847,11.52,9.2406,12.2506,12.5998,7.7721,9.4306,9.4699,6.599,8.0376,5.3391
min,8.3,12.1,10.2,8.5,10,13.1,8.3,4.4,4.8,8.2,3.6,5.2,5.5,4.4,5.3,2.1
max,18.5,26.4,19.8,14.7,33.1,20.3,14.9,14.5,19.6,15.3,10.3,14.3,23.1,9.8,14.8,11.2
mean,12.1,18.0308,13.5526,12.3667,17.0182,16.6857,11.5429,9.2364,12.3133,12.6091,7.7429,9.4565,9.3769,6.5846,8.0769,5.3294
std. dev.,2.6493,4.3874,2.7529,1.7915,5.6811,2.5672,2.3115,2.6579,4.6454,2.0206,1.7654,2.2403,5.2622,1.7525,2.3163,2.3745
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 8 rooms,,,,,,,,,,,,,,,,
value,9.7101,11.306,10.0464,9.9951,11.3556,9.5771,8.2946,8.1335,8.4039,8.8366,7.3183,8.3204,7.5725,6.853,7.2314,5.7715
min,7,9.7,7.9,7.4,9,7.4,7.2,5.8,5.3,6.8,5,5.4,5.4,4.5,5.3,3.2
max,12.3,13.1,12.7,11.5,14.8,13.1,9.3,10.9,10.6,12,9.9,11.8,10.8,9,8.6,9.6
mean,9.7333,11.2923,10.0579,9.9905,11.3364,9.55,8.3,8.1182,8.4133,8.8364,7.3071,8.3435,7.5385,6.8385,7.2231,5.7588
std. dev.,1.5662,0.9759,1.3146,1.1423,1.5981,1.4287,0.6583,1.2875,1.5788,1.5597,1.5603,1.5201,1.7835,1.4466,1.1144,1.7674
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 7 rooms,,,,,,,,,,,,,,,,
value,12.9312,13.523,12.8125,13.5635,13.1119,12.1743,12.425,12.1337,11.4112,11.6991,12.3562,13.2743,10.7985,11.5042,11.1665,9.9721
min,10.8,11.4,10.6,11,10.1,10.9,11,10.2,8.1,10.4,8,10.3,8,9.1,8.3,5.8
max,15.7,16.8,15.4,15.9,17.2,13.6,13.1,14.1,14.8,12.9,14.8,16.2,14.1,13.7,13.1,13.7
mean,12.9556,13.5,12.8105,13.5714,13.1182,12.1786,12.4286,12.15,11.3933,11.6818,12.3571,13.2522,10.7769,11.4846,11.1462,9.9941
std. dev.,1.3997,1.5727,1.314,1.3562,1.4087,0.8145,0.6849,0.9826,2.0109,0.8864,1.5471,1.6434,1.5309,1.5572,1.5836,2.1562
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 6 rooms,,,,,,,,,,,,,,,,
value,18.2965,16.6835,17.8655,20.6324,16.9195,14.8115,18.0164,19.8584,15.4995,16.0785,20.17,20.7318,15.8935,19.8839,18.1693,19.1114
min,15.7,13,11.9,17.4,11.4,12.4,16.6,17.1,9.8,13.9,17.6,18.4,13,16.6,15.3,14.9
max,20.4,20.1,21.3,25.5,20.5,18.1,19.5,24.7,20.2,18.8,22.9,24.4,20.8,23.7,21.2,24.6
mean,18.2667,16.6846,17.8474,20.6333,16.9864,14.8143,18.0143,19.8727,15.4533,16.0727,20.1786,20.7,15.9077,19.8462,18.1769,19.1824
std. dev.,1.2146,2.4402,1.9603,1.986,2.6996,1.8835,1.0558,2.0354,2.731,1.5206,1.352,1.6451,2.2603,1.9873,1.8988,2.634
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 5 rooms,,,,,,,,,,,,,,,,
value,18.0584,15.9744,19.459,19.0874,18.2085,17.2075,20.0487,24.3852,17.2355,18.299,23.6669,23.248,18.0001,24.7541,22.2598,25.8138
min,13.6,12.2,15.2,15.7,12.6,13.3,16.9,16.2,13.7,13.5,20.8,17.1,11.8,20.9,19.9,18
max,23.2,20.8,23.2,22.6,22.1,21.8,22.1,29,21.1,21.6,27.9,26.1,22.2,32.1,25.8,33.5
mean,18,15.9923,19.4105,19.1095,18.25,17.2357,20.0429,24.35,17.1933,18.2909,23.6786,23.2174,18.0231,24.7692,22.2385,25.8294
std. dev.,2.6054,2.7345,2.5777,1.938,2.9447,2.7598,2.0485,3.1289,2.2215,2.5137,2.1705,2.0832,2.602,3.2633,1.7543,3.6085
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 4 rooms,,,,,,,,,,,,,,,,
value,15.3856,13.3483,15.5682,13.863,13.9887,15.8642,14.8412,16.6369,17.3005,16.4365,16.5156,15.6456,18.5041,18.5937,19.27,20.7064
min,11.8,9.4,12.9,10.9,10.6,13.1,10.5,12.7,15.2,14.8,13.5,10.4,13.7,16.1,16.4,14.6
max,18.1,18.5,18.6,18.6,16.7,20.8,17.6,19.8,25.7,18.5,22.3,20.5,21.6,21.8,22.9,27.3
mean,15.3722,13.3769,15.5684,13.8333,13.95,15.8929,14.8,16.6409,17.3133,16.4455,16.55,15.6522,18.5462,18.6308,19.2846,20.6941
std. dev.,1.8654,2.3826,1.487,1.9324,1.8918,2.042,2.5443,1.9673,2.8465,1.1835,2.1089,2.3616,2.2578,1.8291,1.8703,3.6465
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 3 rooms,,,,,,,,,,,,,,,,
value,8.8214,7.1807,7.0863,6.824,6.1177,8.845,7.757,6.7627,10.6697,10.6743,8.1996,6.021,11.5393,7.2501,9.2712,8.8702
min,6.8,3.4,4.6,4.7,2.7,5.5,5.7,4.8,8.8,7.9,4.2,3.4,7.8,5.8,5.3,5
max,11.2,9.4,9.1,9.2,8.3,13.7,11.5,10.1,14.7,13,10.7,9.2,16.4,9.1,12.2,14.7
mean,8.8333,7.1769,7.0895,6.8238,6.1091,8.8214,7.7286,6.7682,10.6867,10.6727,8.1929,6.0435,11.5846,7.2692,9.2615,8.8235
std. dev.,1.2649,1.8167,1.26,1.1238,1.5109,2.2213,2.0336,1.373,1.6881,1.7607,1.7556,1.4301,2.6623,1.2338,2.0899,2.7275
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 2 rooms,,,,,,,,,,,,,,,,
value,2.4901,2.3611,1.7369,1.9158,1.887,2.7826,1.9834,1.6932,4.134,3.32,2.0222,1.6615,4.4058,2.5615,2.7525,2.4782
min,1.4,0.8,0.8,1.1,0.3,1.4,0.9,1,1.9,2.4,1.1,0.4,2,1.5,0.8,0.7
max,3.5,3.4,3.1,3.9,4.2,4.9,2.6,3.3,10.9,4.8,3.3,2.9,8.9,4.4,4.3,7.5
mean,2.4833,2.3538,1.7421,1.9095,1.8864,2.7714,1.9857,1.7045,4.1467,3.3273,2.0214,1.6696,4.4077,2.5769,2.7538,2.4529
std. dev.,0.6447,0.7299,0.6388,0.6572,0.8498,1.0163,0.6817,0.6328,2.1037,0.6724,0.6952,0.7112,1.6983,0.9497,1.0944,1.6956
,,,,,,,,,,,,,,,,
2016 Estimate; ROOMS - Total housing units - 1 room,,,,,,,,,,,,,,,,
value,2.2486,1.6106,1.9741,1.7705,1.3363,2.0665,5.0857,1.1562,3.1145,2.0297,2.007,1.6764,3.8302,2.0074,1.8347,1.9553
min,1.4,1,0.7,0.8,0.2,1.4,1.4,0.3,1.6,1.1,0.6,0.5,2.1,1.5,0.9,1.1
max,4.1,2.4,5.4,4.4,2.3,3.2,15.7,2.7,7.9,2.9,6.2,4.6,6.1,3.3,3.3,4
mean,2.2389,1.6077,1.9526,1.7714,1.3318,2.0643,5.1286,1.1591,3.1067,2.0364,2,1.6739,3.8538,2.0077,1.8308,1.9529
std. dev.,0.6563,0.4462,1.1137,0.7156,0.4785,0.5706,5.7619,0.5315,1.5777,0.5482,1.3711,1.055,1.4672,0.4349,0.7761,0.9566
,,,,,,,,,,,,,,,,
2016 Estimate; OCCUPANTS PER ROOM - Occupied housing units - 1.51 or mo,,,,,,,,,,,,,,,,
value,0.6207,0.5683,0.7027,0.4333,0.7167,0.6717,1.2166,0.5377,1.2729,0.9555,0.8473,0.6971,2.5219,1.6704,0.8435,1.1975
min,0.3,0.2,0.1,0.1,0.3,0.3,0.4,0.1,0.2,0.3,0.2,0.1,0.8,0.4,0,0.1
max,1.2,1.1,3.1,1.3,1.7,1.9,4.1,1.6,4,1.6,2,2.6,4.5,2.8,1.3,3.9
mean,0.6222,0.5692,0.6833,0.43,0.71,0.6692,1.2286,0.5421,1.2643,0.9556,0.85,0.7043,2.5385,1.6615,0.84,1.2118
std. dev.,0.2463,0.272,0.7031,0.2904,0.4303,0.4049,1.3313,0.41,0.9556,0.5053,0.4832,0.5764,1.0905,0.7827,0.3978,1.2884
,,,,,,,,,,,,,,,,
2016 Estimate; OCCUPANTS PER ROOM - Occupied housing units - 1.01 to 1.,,,,,,,,,,,,,,,,
value,1.2327,1.6406,1.5295,0.9773,1.8887,1.596,1.1445,1.6747,2.4022,2.1514,2.572,1.8752,4.3941,4.7801,1.8145,2.9707
min,0.7,0.8,0.6,0.5,0.6,0.6,0.6,0.6,0.8,1,1.3,0.9,1.4,2,1.2,0.7
max,2.1,3.3,4.8,1.8,4.9,3.2,2.1,4.1,5.4,3.7,4.4,4,6.7,6.9,3,9.3
mean,1.2389,1.6462,1.5111,0.97,1.88,1.5923,1.1429,1.6737,2.3857,2.1444,2.5786,1.8696,4.4154,4.7692,1.81,3
std. dev.,0.368,0.6924,0.9399,0.3373,1.0191,0.697,0.5473,0.8265,1.2378,1.0702,0.9082,0.8594,1.5486,1.9636,0.6082,2.8509
,,,,,,,,,,,,,,,,
2016 Estimate; OCCUPANTS PER ROOM - Occupied housing units - 1.00 or le,,,,,,,,,,,,,,,,
value,98.1407,97.8217,97.7562,98.5889,97.3946,97.7254,97.6387,97.7922,96.3251,96.9043,96.5591,97.4445,93.0681,93.5498,97.3432,95.8389
min,97,95.8,92,97.7,93.5,95.8,95.3,95,90.6,94.9,93.8,94.9,88.9,90.5,95.7,86.8
max,98.8,98.9,99,99.3,99.1,99.1,98.7,99.1,98.9,98.5,98,98.7,97.8,97,98.2,99.1
mean,98.1333,97.8154,97.7944,98.6,97.41,97.7308,97.6286,97.7895,96.35,96.9111,96.55,97.4435,93.0308,93.5692,97.35,95.7941
std. dev.,0.4678,0.8375,1.5716,0.4316,1.3765,0.8769,1.1354,1.0582,2.1429,1.5227,1.2948,1.0569,2.6043,2.6759,0.7892,4.1011
,,,,,,,,,,,,,,,,
2016 Estimate; MORTGAGE STATUS - Owner-occupied units - Housing units w,,,,,,,,,,,,,,,,
value,32.0568,34.5904,36.6746,39.6303,30.5908,34.5451,37.8352,45.2015,30.6908,34.2991,38.5725,39.5713,29.8585,32.8682,37.8687,47.7316
min,27.3,27.9,29.2,35.6,24.5,28.7,27.5,39.1,22.7,28.3,33.5,32.6,21.9,27.8,29.1,39.7
max,36.1,42.9,40.3,48.5,38.4,45.9,46.7,56.8,39.8,38.8,47.4,46.3,35.4,40.8,49.7,59
mean,32.0722,34.5923,36.6421,39.6238,30.5909,34.6214,37.7286,45.2636,30.7571,34.31,38.5786,39.5826,29.9077,32.9231,37.9667,47.8176
std. dev.,2.2536,4.0993,2.6389,3.6231,4.2683,5.3746,7.1257,4.6998,5.0511,3.7075,4.944,4.0981,3.7021,4.5839,6.2461,5.6289
,,,,,,,,,,,,,,,,
2016 Estimate; MORTGAGE STATUS - Owner-occupied units - Housing units w,,,,,,,,,,,,,,,,
value,67.9432,65.4096,63.3254,60.3697,69.4092,65.4549,62.1648,54.7985,69.3092,65.7009,61.4275,60.4287,70.1415,67.1318,62.1313,52.2684
min,63.9,57.1,59.7,51.5,61.6,54.1,53.3,43.2,60.2,61.2,52.6,53.7,64.6,59.2,50.3,41
max,72.7,72.1,70.8,64.4,75.5,71.3,72.5,60.9,77.3,71.7,66.5,67.4,78.1,72.2,70.9,60.3
mean,67.9278,65.4077,63.3579,60.3762,69.4091,65.3786,62.2714,54.7364,69.2429,65.69,61.4214,60.4174,70.0923,67.0769,62.0333,52.1824
std. dev.,2.2536,4.0993,2.6389,3.6231,4.2683,5.3746,7.1257,4.6998,5.0511,3.7075,4.944,4.0981,3.7021,4.5839,6.2461,5.6289
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING TENURE - Occupied housing units - Renter-occupie,,,,,,,,,,,,,,,,
value,35.8067,30.2607,32.6654,32.6294,33.5798,36.9099,39.8849,34.8104,39.2981,43.6256,41.8773,35.3119,43.0582,42.2608,44.1145,29.925
min,30.2,23.1,25.6,28.1,23.7,30.6,35.7,29.2,35.3,38.3,35.7,24.4,34.7,32.8,34.6,22.2
max,40.5,35.5,37.3,39.1,39.5,45,43,46.9,42.3,49.8,47.2,46,52.6,51.3,55.1,36.5
mean,35.7833,30.3077,32.6,32.6429,33.6455,36.8786,39.8857,34.85,39.2533,43.6364,41.9357,35.213,43.1692,42.2462,44.2231,29.9706
std. dev.,2.8047,3.6868,3.3508,2.9265,3.9541,4.8264,2.7334,4.6127,2.4553,4.3951,3.6689,4.1452,5.742,5.1657,6.1949,3.5911
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING TENURE - Occupied housing units - Owner-occupied,,,,,,,,,,,,,,,,
value,64.1933,69.7393,67.3346,67.3706,66.4202,63.0901,60.1151,65.1896,60.7019,56.3744,58.1227,64.6881,56.9418,57.7392,55.8855,70.075
min,59.5,64.5,62.7,60.9,60.5,55,57,53.1,57.7,50.2,52.8,54,47.4,48.7,44.9,63.5
max,69.8,76.9,74.4,71.9,76.3,69.4,64.3,70.8,64.7,61.7,64.3,75.6,65.3,67.2,65.4,77.8
mean,64.2167,69.6923,67.4,67.3571,66.3545,63.1214,60.1143,65.15,60.7467,56.3636,58.0643,64.787,56.8308,57.7538,55.7769,70.0294
std. dev.,2.8047,3.6868,3.3508,2.9265,3.9541,4.8264,2.7334,4.6127,2.4553,4.3951,3.6689,4.1452,5.742,5.1657,6.1949,3.5911
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING TENURE - Average household size of renter-occupi,,,,,,,,,,,,,,,,
value,2.3046,2.3242,2.3211,2.2097,2.6599,2.275,2.3976,2.4627,2.5032,2.3751,2.6051,2.5332,2.7934,3.0147,2.5045,2.7807
min,2.06,2.09,2.05,1.96,2.34,1.94,2.16,2.1,2.08,2.09,2.43,2.26,2.54,2.45,2.19,2.19
max,2.73,2.78,3.04,2.42,3.62,2.91,2.59,2.78,3.03,2.8,2.89,2.95,3.2,3.54,2.79,3.45
mean,2.3056,2.3246,2.3147,2.2076,2.6545,2.2736,2.3957,2.4655,2.5,2.3736,2.6064,2.5313,2.7931,3.0092,2.5054,2.7853
std. dev.,0.1759,0.1864,0.226,0.1143,0.352,0.2531,0.1486,0.1572,0.2853,0.2236,0.1359,0.1661,0.2046,0.3938,0.1822,0.365
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING TENURE - Average household size of owner-occupie,,,,,,,,,,,,,,,,
value,2.6803,2.6558,2.593,2.5049,2.8177,2.6162,2.6291,2.5936,2.6969,2.7155,2.739,2.632,2.9221,2.9351,2.6567,2.7232
min,2.53,2.5,2.43,2.27,2.57,2.43,2.5,2.36,2.46,2.42,2.56,2.39,2.62,2.38,2.5,2.21
max,2.84,3.01,3.04,2.72,3.8,2.91,2.72,2.78,3.05,3.03,3.21,2.9,3.28,3.27,2.99,3.77
mean,2.68,2.6562,2.5905,2.5043,2.8136,2.6157,2.6286,2.5941,2.6967,2.7136,2.74,2.6313,2.9215,2.9308,2.6577,2.7312
std. dev.,0.0885,0.1404,0.1506,0.0881,0.2895,0.1142,0.0727,0.0955,0.1441,0.2018,0.2029,0.1339,0.175,0.3362,0.1509,0.4779
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING OCCUPANCY - Total housing units - Vacant housing,,,,,,,,,,,,,,,,
value,10.6548,7.7981,9.3916,11.404,9.0409,8.0426,14.3347,13.8789,9.1745,9.021,12.0479,13.2344,8.0633,8.5834,15.4139,22.4728
min,5.9,4.8,6.5,8.6,3.2,4.6,8.8,11,4.9,4.5,6.7,7.8,4.4,4.4,8.9,9.8
max,24.4,10.3,12.5,18,20.9,11.7,29.9,16.9,18.8,13.6,17.5,29.1,11,17.1,29.2,38.6
mean,10.6944,7.8308,9.3684,11.381,8.9773,8.0714,14.2286,13.9,9.2267,8.9727,12.0857,13.2652,8.0615,8.6385,15.4308,22.4412
std. dev.,4.7432,1.7769,1.7767,2.7367,4.0275,2.2595,7.2814,1.4216,4.2294,2.4171,3.0285,4.1526,2.1356,3.5871,5.161,7.5732
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING OCCUPANCY - Total housing units - Occupied housi,,,,,,,,,,,,,,,,
value,89.3452,92.2019,90.6084,88.596,90.9591,91.9574,85.6653,86.1211,90.8255,90.979,87.9521,86.7656,91.9367,91.4166,84.5861,77.5272
min,75.6,89.7,87.5,82,79.1,88.3,70.1,83.1,81.2,86.4,82.5,70.9,89,82.9,70.8,61.4
max,94.1,95.2,93.5,91.4,96.8,95.4,91.2,89,95.1,95.5,93.3,92.2,95.6,95.6,91.1,90.2
mean,89.3056,92.1692,90.6316,88.619,91.0227,91.9286,85.7714,86.1,90.7733,91.0273,87.9143,86.7348,91.9385,91.3615,84.5692,77.5588
std. dev.,4.7432,1.7769,1.7767,2.7367,4.0275,2.2595,7.2814,1.4216,4.2294,2.4171,3.0285,4.1526,2.1356,3.5871,5.161,7.5732
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING OCCUPANCY - Rental vacancy rate,,,,,,,,,,,,,,,,
value,4.9991,4.8651,6.3811,6.4191,5.4574,5.5144,9.385,7.6987,4.3146,6.3584,7.9185,7.083,3.6454,3.8407,8.5778,11.4485
min,2,1.9,2.2,3.4,2.6,2.6,5.8,4.3,1.6,3.3,1.9,1.2,1.6,1.9,2,5.4
max,8.8,9.1,11.8,11.5,9.4,10.2,14.8,12,8.6,9.7,11.9,13.5,5.4,7.8,19.4,41.9
mean,5.0056,4.8692,6.3632,6.3952,5.4182,5.5929,9.3429,7.7318,4.3267,6.3455,7.9143,7,3.6308,3.8615,8.6,11.5235
std. dev.,1.6362,2.155,2.415,1.8465,1.841,2.6392,3.2434,2.6339,2.0913,1.7166,2.8635,3.3692,1.128,1.5841,4.9285,9.4836
,,,,,,,,,,,,,,,,
2016 Estimate; HOUSING OCCUPANCY - Homeowner vacancy rate,,,,,,,,,,,,,,,,
value,1.8244,1.144,1.4846,1.9323,1.5528,1.3461,2.2452,2.2888,1.3589,1.5025,2.15,1.938,1.0716,1.6605,2.3219,2.3168
min,0.5,0.2,0.5,1,0.1,0.6,1.3,1.4,0,0,1,0.8,0.3,0.4,0.8,0.8
max,3.8,2.9,2.6,3.1,3.4,2,4.1,3.2,2.2,3,4.1,3.2,2.3,3.2,3.8,4
mean,1.8278,1.1462,1.4789,1.9238,1.5409,1.3429,2.2429,2.2818,1.36,1.4909,2.1571,1.9391,1.0692,1.6692,2.3154,2.3176
std. dev.,0.8669,0.7276,0.5779,0.5078,0.6857,0.3975,1.1886,0.5517,0.6685,0.8142,0.9952,0.5829,0.5544,0.8625,0.8745,0.8862
,,,,,,,,,,,,,,,,
